samp_name	source_mat_id	sample_alt_lab_ids	biosamples_accession	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
CGG_1_018230	13	CAP_105	SAMN44842749	molar tooth, UBERON:0003655	missing	https://doi.org/10.1016/j.qeh.2024.100049	Woolly Mammoth	37349.0	Mammuthus primigenius	51.39	39.05	Russia	Kostenki 11-Ia	24649	25798	23500	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049	sample_age is midpoint between upper and lower bounds of Kostenki 11-Ia third mammoth bone complex, based on modelling in Rey-Iglesia et al. (2025) (Fig. 3).	ILLUMINA	WGS	0.000004	full-udg	single	https://doi.org/10.1016/j.qeh.2024.100049	ILLUMINA	Targeted-Capture	complete	0.8	full-udg	single	not applicable	https://doi.org/10.1016/j.qeh.2024.100049		Deon de Jager	yes
CGG_1_018231	14	CAP_106	SAMN44842750	molar tooth, UBERON:0003655	female	https://doi.org/10.1016/j.qeh.2024.100049	Woolly Mammoth	37349.0	Mammuthus primigenius	51.39	39.05	Russia	Kostenki 11-Ia	24649	25798	23500	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049	sample_age is midpoint between upper and lower bounds of Kostenki 11-Ia third mammoth bone complex, based on modelling in Rey-Iglesia et al. (2025) (Fig. 3).	ILLUMINA	WGS	0.000133	full-udg	single	https://doi.org/10.1016/j.qeh.2024.100049	ILLUMINA	Targeted-Capture	complete	0.3	full-udg	single	not applicable	https://doi.org/10.1016/j.qeh.2024.100049		Deon de Jager	yes
CGG_1_018232	15	CAP_107	SAMN44842751	molar tooth, UBERON:0003655	male	https://doi.org/10.1016/j.qeh.2024.100049	Woolly Mammoth	37349.0	Mammuthus primigenius	51.39	39.05	Russia	Kostenki 11-Ia	284600	519870	85355	genetic inference	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049	Phylogenetic tip-dating	ILLUMINA	WGS	0.000070	full-udg	single	https://doi.org/10.1016/j.qeh.2024.100049	ILLUMINA	Targeted-Capture	complete	94.6	full-udg	single	PQ631157	https://doi.org/10.1016/j.qeh.2024.100049		Deon de Jager	yes
CGG_1_018233	16	CAP_108	SAMN44842752	molar tooth, UBERON:0003655	missing	https://doi.org/10.1016/j.qeh.2024.100049	Woolly Mammoth	37349.0	Mammuthus primigenius	51.39	39.05	Russia	Kostenki 11-Ia	23396	10224	32770	genetic inference	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049	Phylogenetic tip-dating	ILLUMINA	WGS	0.000020	full-udg	single	https://doi.org/10.1016/j.qeh.2024.100049	ILLUMINA	Targeted-Capture	complete	19.0	full-udg	single	PQ631152	https://doi.org/10.1016/j.qeh.2024.100049		Deon de Jager	yes
CGG_1_018234	17	CAP_109	SAMN44842753	molar tooth, UBERON:0003655	missing	https://doi.org/10.1016/j.qeh.2024.100049	Woolly Mammoth	37349.0	Mammuthus primigenius	51.39	39.05	Russia	Kostenki 11-Ia	24649	25798	23500	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049	sample_age is midpoint between upper and lower bounds of Kostenki 11-Ia third mammoth bone complex, based on modelling in Rey-Iglesia et al. (2025) (Fig. 3).	ILLUMINA	WGS	0.000001	full-udg	single	https://doi.org/10.1016/j.qeh.2024.100049	ILLUMINA	Targeted-Capture	complete	0.2	full-udg	single	not applicable	https://doi.org/10.1016/j.qeh.2024.100049		Deon de Jager	yes
CGG_1_018235	18	CAP_110	SAMN44842754	molar tooth, UBERON:0003655	female	https://doi.org/10.1016/j.qeh.2024.100049	Woolly Mammoth	37349.0	Mammuthus primigenius	51.39	39.05	Russia	Kostenki 11-Ia	24649	25798	23500	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049	sample_age is midpoint between upper and lower bounds of Kostenki 11-Ia third mammoth bone complex, based on modelling in Rey-Iglesia et al. (2025) (Fig. 3).	ILLUMINA	WGS	0.000005	full-udg	single	https://doi.org/10.1016/j.qeh.2024.100049	ILLUMINA	Targeted-Capture	complete	0.4	full-udg	single	not applicable	https://doi.org/10.1016/j.qeh.2024.100049		Deon de Jager	yes
CGG_1_018236	19	CAP_111	SAMN44842755	molar tooth, UBERON:0003655	missing	https://doi.org/10.1016/j.qeh.2024.100049	Woolly Mammoth	37349.0	Mammuthus primigenius	51.39	39.05	Russia	Kostenki 11-Ia	24649	25798	23500	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049	sample_age is midpoint between upper and lower bounds of Kostenki 11-Ia third mammoth bone complex, based on modelling in Rey-Iglesia et al. (2025) (Fig. 3).	ILLUMINA	WGS	0.000001	full-udg	single	https://doi.org/10.1016/j.qeh.2024.100049	ILLUMINA	Targeted-Capture	complete	2.8	full-udg	single	PQ631151	https://doi.org/10.1016/j.qeh.2024.100049		Deon de Jager	yes
CGG_1_018237	20		SAMN44842756	molar tooth, UBERON:0003655	female	https://doi.org/10.1016/j.qeh.2024.100049	Woolly Mammoth	37349.0	Mammuthus primigenius	51.39	39.05	Russia	Kostenki 11-Ia	24649	25798	23500	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049	sample_age is midpoint between upper and lower bounds of Kostenki 11-Ia third mammoth bone complex, based on modelling in Rey-Iglesia et al. (2025) (Fig. 3).	ILLUMINA	WGS	0.001101	none	double	https://doi.org/10.1016/j.qeh.2024.100049	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049		Deon de Jager	yes
CGG_1_018238	21		SAMN44842757	molar tooth, UBERON:0003655	male	https://doi.org/10.1016/j.qeh.2024.100049	Woolly Mammoth	37349.0	Mammuthus primigenius	51.39	39.05	Russia	Kostenki 11-Ia	24649	25798	23500	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049	sample_age is midpoint between upper and lower bounds of Kostenki 11-Ia third mammoth bone complex, based on modelling in Rey-Iglesia et al. (2025) (Fig. 3).	ILLUMINA	WGS	0.002464	none	double	https://doi.org/10.1016/j.qeh.2024.100049	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.qeh.2024.100049		Deon de Jager	yes
CGG_1_018239	22	CAP_112	SAMN44842758	molar tooth, UBERON:0003655	female	https://doi.org/10.1016/j.qeh.2024.100049	Woolly Mammoth	37349.0	Mammuthus primigenius	51.39	39.05	Russia	Kostenki 11-Ia	24402	24838	23995	radiocarbon dating	20300	130	UCIAMS-266003	https://doi.org/10.1016/j.qeh.2024.100049		ILLUMINA	WGS	0.001043	full-udg	single	https://doi.org/10.1016/j.qeh.2024.100049	ILLUMINA	Targeted-Capture	complete	82.0	full-udg	single	PQ631148	https://doi.org/10.1016/j.qeh.2024.100049		Deon de Jager	yes
