samp_name	source_mat_id	sample_alt_lab_ids	biosamples_accession	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
Nuuk2	Ld.103	TRF.02.04	SAMN46708434	skin of body, UBERON:0002097	female	https://doi.org/10.1126/science.adu1990	Dog	9615	Canis lupus familiaris	64.18	-51.74	Greenland	Godthab, Kitaa	68	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.adu1990		ILLUMINA	WGS	0.96	none	double	https://doi.org/10.1126/science.adu1990	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Lachie Scarsbrook	yes
Obersten1	Obersten	Obersten_Greenland	SAMN46708431	skin of body, UBERON:0002097	female	https://doi.org/10.1126/science.adu1990	Dog	9615	Canis lupus familiaris	70.93	-39.26	Greenland	Greenland, Kitaa	40	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.adu1990		ILLUMINA	WGS	1.47	none	double	https://doi.org/10.1126/science.adu1990	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Lachie Scarsbrook	yes
OL4029	missing	not applicable	SAMEA7321866	femur, UBERON:0000981	male	https://doi.org/10.1126/science.aba9572	Dog	9615	Canis lupus familiaris	43.27	-2.09	Spain	Marizulo cave, Urnieta, Gipuzkoa, Basque Country	6230	missing	missing	radiocarbon dating	5390	34	OxA-36895	https://doi.org/10.1126/science.aba9572		ILLUMINA	WGS	0.1	none	double	https://doi.org/10.1126/science.aba9572	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Mattias Sherman	yes
OL4061	missing	not applicable	SAMEA7321867	calcareous tooth, UBERON:0001091	male	https://doi.org/10.1126/science.aba9572	Dog	9615	Canis lupus familiaris	61.26	38.9	Russia	Veretye 1, Lake Lacha, Arkhangelsk Province, northern European Russia	10930	missing	missing	radiocarbon dating	9575	50	OxA-36900	https://doi.org/10.1126/science.aba9572		ILLUMINA	WGS	1.8	none	double	https://doi.org/10.1126/science.aba9572	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Mattias Sherman	yes
OL4222	missing	not applicable	SAMEA7321868	mandible, UBERON:0001684	male	https://doi.org/10.1126/science.aba9572	Dog	9615	Canis lupus familiaris	38.51	23.98	Greece	Skoteini Cave (A12, T6), Tharrounia, Euboea Island	6544	missing	missing	radiocarbon dating	5743	35	OxA-36899	https://doi.org/10.1126/science.aba9572		ILLUMINA	WGS	4.5	none	double	https://doi.org/10.1126/science.aba9572	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Mattias Sherman	yes
OL4223	missing	not applicable	SAMEA7321869;SAMEA118754976	rib, UBERON:0002228	female	https://doi.org/10.1126/science.aba9572	Dog	9615	Canis lupus familiaris	52.69	103.68	Russia	Pad’ Kalashnikova site, Baikal	6935	7066	6804	radiocarbon dating	6075	32	Ox23911	https://doi.org/10.1126/science.aba9572;https://doi.org/10.1126/science.adu2836	C14 from 1st study but calibrated date from 2nd	ILLUMINA	WGS	5.15	none	double;single	https://doi.org/10.1126/science.aba9572;https://doi.org/10.1126/science.adu2836	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Secondary biosample accession generated for single-stranded libraries from separate extract of same rib sample	Mattias Sherman;Lachie Scarsbrook	yes
PDM100	PDM100	not applicable	SAMEA13128101	femur, UBERON:0000981	male	https://doi.org/10.1038/s41586-022-04824-9	Wolf	9612	Canis lupus	49.27	17.26	Czechia	Předmostí	28541	28754	28328	radiocarbon dating	24492	67	ETH-76010	https://doi.org/10.1038/s41586-022-04824-9		ILLUMINA	WGS	0.09	full-udg	double	https://doi.org/10.1038/s41586-022-04824-9	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Anders Bergström	yes
Peregrebnoe1	203-508	TRF-05-13	SAMEA9534567	bone element, UBERON:0001474	male	https://doi.org/10.1073/pnas.2100338118	Dog	9615	Canis lupus familiaris	62	65	Russia	Peregrebnoe 1	998	1060	935	radiocarbon dating	1093	31	Ua47726	https://doi.org/10.1073/pnas.2100338118		ILLUMINA	WGS	0	none	double	https://doi.org/10.1073/pnas.2100338118	not applicable	not applicable	not applicable	0.1	not applicable	not applicable	not applicable	not applicable		Mattias Sherman	yes
PJ35K	NMJH A-636-1-1-19-1	not applicable	SAMD00469931	petrous part of temporal bone, UBERON:0001694	male	https://doi.org/10.1016/j.cub.2022.04.034	Wolf	9612	Canis lupus	36.7166667	140.03333333	Japan	Aizawa Town (formerly Kuzuu Town), Sano city, Tochigi Prefecture	36060	36476	35644	radiocarbon dating	31730	180	YU-4404	https://doi.org/10.1016/j.cub.2022.04.034		ILLUMINA	WGS	0.0966609	none	double	https://doi.org/10.1016/j.cub.2022.04.034	not applicable	not applicable	not applicable	6	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.cub.2022.04.034	Published mean DoC based on panel of ~8M SNPs so replaced with unfiltered mean autosomal DoC	Mattias Sherman	yes
PON012	ALVH2	not applicable	SAMEA13128102	proximal epiphysis of tibia, UBERON:0008772	male	https://doi.org/10.1038/s41586-022-04824-9	Wolf	9612	Canis lupus	58.299722	14.675	Sweden	Alvastra	5079	5297	4861	stratigraphic inference	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41586-022-04824-9	4430± 85, contextually, cal dates added based on this date	ILLUMINA	WGS	2.1	full-udg	double	https://doi.org/10.1038/s41586-022-04824-9	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Anders Bergström	yes
Qeqertarssuatsiaq1	L.7827	67941	SAMN46708435	skin of body, UBERON:0002097	missing	https://doi.org/10.1126/science.adu1990	Dog	9615	Canis lupus familiaris	70.42	-54.88	Greenland	Qeqertarssuatsiaq, Kitaa	32	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.adu1990		ILLUMINA	WGS	0.41	none	double	https://doi.org/10.1126/science.adu1990	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Lachie Scarsbrook	yes
Qeqertarsuaq1	P34/2017KMG	TRF.01.30	SAMN46708466	petrous part of temporal bone, UBERON:0001694	male	https://doi.org/10.1126/science.adu1990	Dog	9615	Canis lupus familiaris	69.25	-53.53	Greenland	Qeqertarsuagg, Kitaa	0	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.adu1990		ILLUMINA	WGS	6.81	none	double	https://doi.org/10.1126/science.adu1990	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Lachie Scarsbrook	yes
Sakhalin1	P55/2017KMG;MK 1054	TRF-01-51	SAMEA9534546	bone element, UBERON:0001474	male	https://doi.org/10.1073/pnas.2100338118	Dog	9615	Canis lupus familiaris	51	143	Russia	Sakhalin, Sakhalin	78	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	https://doi.org/10.1073/pnas.2100338118		BGISEQ;ILLUMINA	WGS	1.4	none	double	https://doi.org/10.1073/pnas.2100338118	not applicable	not applicable	not applicable	60.2	not applicable	not applicable	not applicable	not applicable		Mattias Sherman	yes
SB Dog	USNM 3512	not applicable	SAMN36985985	skin of body, UBERON:0002097	missing	not applicable	Dog	9615	Canis lupus familiaris	missing	missing	USA	Semiamhoo Bay (Washington or British Columbia)	91	92	91	historical records	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.adi6549		ILLUMINA	WGS	0.05	none	single	https://doi.org/10.1126/science.adi6549	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Lachie Scarsbrook	yes
SC19.MCJ010	YG 489.668	not applicable	SAMEA13128083	petrous part of temporal bone, UBERON:0001694	male	https://doi.org/10.1038/s41586-022-04824-9	Wolf	9612	Canis lupus	60.987749	-130.485912	Canada	Quartz Creek, Yukon	29943	30381	29505	radiocarbon dating	25740	120	UCIAMS 226603	https://doi.org/10.1038/s41586-022-04824-9		ILLUMINA	WGS	3.07	none	single	https://doi.org/10.1038/s41586-022-04824-9	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Anders Bergström	yes
SC19.MCJ014	YG 461.155	not applicable	SAMEA13128084	humerus, UBERON:0000976	male	https://doi.org/10.1038/s41586-022-04824-9	Wolf	9612	Canis lupus	63.361631	-139.116156	Canada	Independence Creek, Yukon	29143	29465	28820	radiocarbon dating	25090	110	UCIAMS 226604	https://doi.org/10.1038/s41586-022-04824-9		ILLUMINA	WGS	1.07	none	single	https://doi.org/10.1038/s41586-022-04824-9	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Anders Bergström	yes
