samp_name	biosamples_accession	source_mat_id	sample_alt_lab_ids	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
Kov27	SAMEA4609729	missing	Kov27	missing	missing	not applicable	Goat	9925	Capra, Capra hircus	41.5	23.4833	Bulgaria	Kovačevo, Blagoevgrad	7850.0	8150.0	7550.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	not applicable	full-udg	double	https://doi.org/10.1126/science.aas9411	missing; ILLUMINA	AMPLICON; Targeted-Capture	d-loop; complete	3.12	none; full-udg	double	missing;LS992629.1	doi.org/10.1515/9783110266306.45; doi.org/10.1126/science.aas9411		Kevin Daly	yes
Kov57	SAMEA4609139	missing	Kov57	missing	female	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	41.5	23.4833	Bulgaria	Kovačevo, Blagoevgrad	7850.0	8150.0	7550.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	0.07	full-udg	double	https://doi.org/10.1126/science.aas9411	missing; ILLUMINA	AMPLICON; Targeted-Capture	d-loop; complete	5.86	none; full-udg	double	missing;LS992625.1	doi.org/10.1515/9783110266306.45; doi.org/10.1126/science.aas9411		Kevin Daly	yes
Kov60	SAMEA4609730	missing	Kov60	missing	female	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	41.5	23.4833	Bulgaria	Kovačevo, Blagoevgrad	7850.0	8150.0	7550.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	not applicable	full-udg	double	https://doi.org/10.1126/science.aas9411	missing; ILLUMINA	AMPLICON; Targeted-Capture	d-loop; complete	6.97	none; full-udg	double	missing;LS992626.1	doi.org/10.1515/9783110266306.45; doi.org/10.1126/science.aas9411		Kevin Daly	yes
Lur12	SAMEA4591774	MM AH1 (AH78, MM, AH1, 10G, 11064)	KD187	petrous part of temporal bone, UBERON:0001708	female	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	34.066	48.134	Iran	Tepe Abdul Hosein, Luristan	9905.0	10120.0	9690.0	radiocarbon dating	8810	30	Beta-470334	https://doi.org/10.1126/science.aas9411		ILLUMINA	WGS	1.05	full-udg	double	https://doi.org/10.1126/science.aas9411	not applicable	WGS	not applicable	480	not applicable	not applicable	LS992627.1	not applicable		Kevin Daly	yes
Lur9	SAMEA4609152	MM KAMCS12	KD150	petrous part of temporal bone, UBERON:0001708	female	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	33.150986	47.508483	Iran	Kelek Asad Morad, Luristan	10300.0	10550.0	10050.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	0.0001	full-udg	double	https://doi.org/10.1126/science.aas9411	ILLUMINA	Targeted-Capture 	complete	1.69	full-udg	double	LS992628.1	doi.org/10.1126/science.aas9411		Kevin Daly	yes
Miqne5	SAMEA4609153	4NW 24.118	KD132	petrous part of temporal bone, UBERON:0001708	male	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	31.77889	34.84992	Israel	Tel Miqne-Ekron, Shephelah	2650.0	2900.0	2400.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	0.0005	full-udg	double	https://doi.org/10.1126/science.aas9411	ILLUMINA	Targeted-Capture 	complete	12.22	full-udg	double	LS992635.1	doi.org/10.1126/science.aas9411		Kevin Daly	yes
Monjukli1	SAMEA4607420	G, Locus 24, RN 7067, l	KD235	petrous part of temporal bone, UBERON:0001709	female	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	36.8485	60.4181	Turkmenistan	Monjukli Depe, Meana-Čaača	6750.0	7050.0	6450.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	0.24	full-udg	double	https://doi.org/10.1126/science.aas9411	not applicable	WGS	not applicable	96.78	not applicable	not applicable	LS992632.1	not applicable		Kevin Daly	yes
Monjukli2	SAMEA4607421	C, Locus 295, RN 10550, r	KD236	petrous part of temporal bone, UBERON:0001710	female	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	36.8485	60.4181	Turkmenistan	Monjukli Depe, Meana-Čaača	6750.0	7050.0	6450.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	0.21	full-udg	double	https://doi.org/10.1126/science.aas9411	not applicable	WGS	not applicable	90.55	not applicable	not applicable	LS992633.1	not applicable		Kevin Daly	yes
Monjukli4	SAMEA4607422	E, Locus 83, RN 4334, r	KD238	petrous part of temporal bone, UBERON:0001711	female	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	36.8485	60.4181	Turkmenistan	Monjukli Depe, Meana-Čaača	6750.0	7050.0	6450.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	0.6	full-udg	double	https://doi.org/10.1126/science.aas9411	not applicable	WGS	not applicable	123.04	not applicable	not applicable	LS992634.1	not applicable		Kevin Daly	yes
Monjukli6	SAMEA4609154	E, Locus 14, RN 4071, l	KD240	petrous part of temporal bone, UBERON:0001712	male	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	36.8485	60.4181	Turkmenistan	Monjukli Depe, Meana-Čaača	6750.0	7050.0	6450.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	0.03	full-udg	double	https://doi.org/10.1126/science.aas9411	ILLUMINA	Targeted-Capture 	complete	123.04	full-udg	double	LS992631.1	doi.org/10.1126/science.aas9411		Kevin Daly	yes
