samp_name	source_mat_id	sample_alt_lab_ids	biosamples_accession	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
NVL1	1a-001 7774	not applicable	SAMEA115574428	petrous part of temporal bone, UBERON:0001706	female	https://doi.org/10.1038/s41586-024-08112-6	Aurochs	9909	Bos primigenius	51.669	81.911	Russia	Novoil`inka-VI (Новоильинка-VI)	4504	5308	4990	radiocarbon dating	4504	36	CIRAM-7875	https://doi.org/10.1038/s41586-024-08112-6	Bronze Age	ILLUMINA	WGS	0.0	full-udg	double	https://doi.org/10.1038/s41586-024-08112-6	not applicable	not applicable	not applicable	10.94	full-udg	double	not applicable	https://doi.org/10.1038/s41586-024-08112-6		Jolijn Erven	yes
Bed3	not applicable	not applicable	SAMEA115481004	missing	female	https://doi.org/10.1093/molbev/msae076	Aurochs	9909	Bos primigenius	51.05	6.52	Germany	Bedburg-Königshoven	11600	not applicable	not applicable	radiocarbon dating	10036	45	not applicable	https://doi.org/10.1093/molbev/msae076	Mesolithic	ILLUMINA	WGS	18.49	full-udg	single	https://doi.org/10.1093/molbev/msae076	not applicable	not applicable	not applicable	5004.96	full-udg	single	not applicable	https://doi.org/10.1093/molbev/msae076		Jolijn Erven	yes
Sub1	not applicable	not applicable	SAMEA5577393	missing	male	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	37.35	31.95	Turkey	Erbaba	8072	not applicable	not applicable	radiocarbon dating	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.aav1002	Neolithic	ILLUMINA	WGS	13.85	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	1628.0	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Bes2	not applicable	not applicable	SAMEA5577352	missing	male	https://doi.org/10.1126/science.aav1002	Eurasian cattle;Zebu cattle	9913;9915	Bos taurus;Bos indicus	35.38	45.65	Iraq	Bestansur	603	652	553	radiocarbon dating	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.aav1002	Medieval	ILLUMINA	WGS	13.8	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	131.84	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
CPC98	not applicable	not applicable	SAMN04028906	missing	male	https://doi.org/10.1186/s13059-015-0790-2	Aurochs	9909	Bos primigenius	53.07	-1.66	United Kingdom	Carsington Pasture Cave, Derbyshire	6738	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Mesolithic	ILLUMINA	WGS	3.77	none	single	https://doi.org/10.1186/s13059-015-0790-2	not applicable	not applicable	not applicable	33.73	none	single	not applicable	https://doi.org/10.1186/s13059-015-0790-2		Jolijn Erven	yes
Kaz1	not applicable	not applicable	SAMEA5577367	missing	female	https://doi.org/10.1126/science.aav1002	Eurasian cattle;Zebu cattle	9913;9915	Bos taurus;Bos indicus	42.66	44.65	Georgia	Dariali Tamara Fort	1000	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Medieval	ILLUMINA	WGS	3.07	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	165.76	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Men1	not applicable	MV013	SAMEA5577376	missing	male	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	40.29	29.53	Turkey	Menteşe	8050	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Neolithic	ILLUMINA	WGS	2.92	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	356.64	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Plo4	not applicable	not applicable	SAMEA5577383	missing	male	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	43.20	21.36	Serbia	Plocnik, Prokuplje	7000	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Late Neolithic	ILLUMINA	WGS	2.86	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	183.64	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
Shimao05	not applicable	not applicable	SAMN08866422	missing	female	https://doi.org/10.1038/s41467-018-04737-0	Eurasian cattle	9913	Bos taurus	38.33	109.83	China	Shimao	3879	not applicable	not applicable	radiocarbon dating	not applicable	not applicable	not applicable	https://doi.org/10.1038/s41467-018-04737-0	Neolithic	ILLUMINA	WGS	2.64	none	double	https://doi.org/10.1038/s41467-018-04737-0	not applicable	not applicable	not applicable	139.61	none	double	not applicable	https://doi.org/10.1038/s41467-018-04737-0		Jolijn Erven	yes
Plo3	not applicable	not applicable	SAMEA5577382	missing	male	https://doi.org/10.1126/science.aav1002	Eurasian cattle	9913	Bos taurus	43.20	21.36	Serbia	Plocnik, Prokuplje	7025	not applicable	not applicable	stratigraphic inference	not applicable	not applicable	not applicable	not applicable	Middle Neolithic	ILLUMINA	WGS	2.63	full-udg	single	https://doi.org/10.1126/science.aav1002	not applicable	not applicable	not applicable	164.19	full-udg	single	not applicable	https://doi.org/10.1126/science.aav1002		Jolijn Erven	yes
